"","PMI","P"
"1",10.989010989011,0.67
"2",27.2727272727273,0.68
"3",24.390243902439,0.36
"4",34.7826086956522,0.27
"5",36.3636363636364,0.14
"6",37.8378378378378,0.25
"7",36,0.06
"8",40,0
"9",40.3508771929825,0.08
"10",40.7407407407407,0
"11",45.3333333333333,0
"12",45.7142857142857,0.5
"13",50.8196721311475,0.01
"14",50,0.01
"15",56.25,0
"16",53.125,0
"17",63.1578947368421,0
"18",67.4418604651163,0.03
"19",73.1707317073171,0
"20",79.6238244514107,0
